City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
287,batagay-alyta,67.8006,130.4114,-29.49,98,54,3.09,RU,1669255241
288,lufilufi,-13.8745,-171.5986,81.79,77,20,14.25,WS,1669255241
289,paka,4.6374,103.4368,84.38,77,97,2.04,MY,1669255242
290,nanakuli,21.3906,-158.1547,79.99,64,100,5.75,US,1669255242
291,lillooet,50.6856,-121.942,38.41,94,100,5.37,CA,1669255243
292,takoradi,4.8845,-1.7554,78.73,83,93,7.16,GH,1669255243
293,eureka,40.8021,-124.1637,49.39,92,95,4.72,US,1669255138
294,tambun,-6.2641,107.0712,90.03,74,40,4.61,ID,1669255243
295,nouadhibou,20.931,-17.0347,67.55,75,0,12.62,MR,1669255244
296,ust-nera,64.5667,143.2,-11.6,97,100,2.98,RU,1669255244
297,itarema,-2.9248,-39.9167,78.67,75,35,15.1,BR,1669255245
298,lebu,-37.6167,-73.65,57.13,92,29,15.5,CL,1669255159
299,najran,17.4924,44.1277,54.25,54,0,1.72,SA,1669255091
300,kolondieba,11.0882,-6.8926,71.29,31,12,2.51,ML,1669255246
301,saint george,37.1041,-113.5841,52.25,33,59,1.99,US,1669255143
302,ilulissat,69.2167,-51.1,4.21,81,13,4.9,GL,1669255048
303,zalantun,48.0,122.7167,15.46,62,100,3.4,CN,1669255247
304,puerto leguizamo,-0.1934,-74.7819,71.78,96,65,1.86,CO,1669255248
305,la sarre,48.8002,-79.1996,25.75,96,100,6.89,CA,1669255203
306,uva,56.9908,52.1852,21.63,95,100,9.51,RU,1669255248
307,avrille,47.5,-0.5833,49.77,91,3,14.12,FR,1669255249
308,teguise,29.0605,-13.564,66.42,78,75,9.22,ES,1669255249
309,cabo san lucas,22.8909,-109.9124,75.51,64,59,5.5,MX,1669254920
310,tottori,35.5,134.2333,57.9,72,100,11.34,JP,1669255250
311,sibu,2.3,111.8167,76.64,93,100,3.49,MY,1669255250
312,lorengau,-2.0226,147.2712,86.31,63,97,10.4,PG,1669255250
313,henties bay,-22.116,14.2845,60.48,83,10,6.08,NA,1669255251
314,kazachinskoye,57.6953,93.2761,-9.33,89,100,9.17,RU,1669255251
315,simao,22.7886,100.9748,66.49,57,96,0.43,CN,1669255252
316,palmer,42.1584,-72.3287,37.99,80,5,3.27,US,1669255252
317,svetlyy,54.675,20.1347,26.65,92,100,7.78,RU,1669255252
318,muswellbrook,-32.2667,150.9,78.53,35,0,6.64,AU,1669255247
319,beidao,34.5686,105.8933,45.9,79,99,5.12,CN,1669255253
320,lasa,46.6166,10.7002,29.03,92,28,7.07,IT,1669255253
321,warrnambool,-38.3833,142.4833,57.16,69,89,10.92,AU,1669255254
322,waitati,-45.75,170.5667,55.8,67,61,13.47,NZ,1669255314
323,cabatuan,10.8794,122.486,84.2,75,93,11.1,PH,1669255314
324,iskateley,67.6803,53.1512,17.92,97,79,6.17,RU,1669255315
325,narsaq,60.9167,-46.05,43.02,67,93,11.79,GL,1669255315
326,damghan,36.1683,54.348,46.38,35,100,1.61,IR,1669255316
327,pomarla,48.0667,26.3167,37.27,93,100,4.52,RO,1669255316
328,smithers,54.7804,-127.1743,35.44,99,100,1.9,CA,1669255316
329,esperance,-33.8667,121.9,74.46,57,59,16.67,AU,1669255317
330,barrow,71.2906,-156.7887,8.62,78,100,21.85,US,1669255317
331,carnarvon,-24.8667,113.6333,75.16,54,0,9.19,AU,1669255317
332,sao joao da barra,-21.6403,-41.0511,74.5,88,100,14.67,BR,1669255318
333,ertil,51.8406,40.8056,32.07,93,83,7.05,RU,1669255318
